                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4042,                 5.2912,                 2.1688,                      0,                      0,                      0,                      0,                 2.2533,                 5.0304,                 2.1046,              0.0001252,              0.0001252,              0.0001252
                      2,                 2.2342,                 4.5438,                 1.9953,                0.66092,                0.03317,                0.01635,                0.00549,                 2.3226,                 3.8023,                 1.9576,             0.00025186,             0.00025186,             0.00025186
                      3,                 2.2226,                 3.9175,                 1.9118,                0.79181,                 0.0462,                0.02595,                0.01027,                 2.3096,                 3.5191,                 1.9158,             0.00037683,             0.00037683,             0.00037683
                      4,                  2.155,                 3.5999,                 1.8638,                 0.5816,                0.07962,                0.04652,                0.01839,                 2.1901,                 3.4353,                   1.94,             0.00037738,             0.00037738,             0.00037738
                      5,                 2.1035,                 3.3821,                 1.8598,                0.62045,                 0.0783,                0.06496,                0.02791,                  2.107,                 3.1642,                 1.9517,             0.00037738,             0.00037738,             0.00037738
                      6,                 2.0569,                 3.2845,                 1.8212,                0.70975,                0.09819,                0.06511,                0.02791,                 2.0655,                  3.162,                 1.9353,             0.00037484,             0.00037484,             0.00037484
                      7,                  2.039,                 3.2064,                 1.8317,                0.58949,                0.10179,                0.10166,                0.04318,                 2.0858,                 2.8717,                 1.9049,             0.00037229,             0.00037229,             0.00037229
                      8,                 2.0251,                 3.1258,                 1.7969,                0.65917,                0.09122,                0.09281,                0.04117,                 2.0789,                 2.7466,                 1.8776,             0.00036975,             0.00036975,             0.00036975
                      9,                 2.0217,                 3.0498,                 1.7787,                0.52059,                0.13232,                0.13461,                0.06223,                 1.9815,                 2.5905,                  1.767,             0.00036721,             0.00036721,             0.00036721
                     10,                 1.9289,                 2.9643,                 1.7366,                0.55607,                0.13039,                0.10193,                0.04691,                  1.982,                 2.6537,                 1.8102,             0.00036467,             0.00036467,             0.00036467
                     11,                 1.9724,                 2.8454,                 1.7128,                0.66925,                0.10357,                0.12535,                0.05725,                 1.9454,                 2.5628,                 1.7486,             0.00036213,             0.00036213,             0.00036213
