                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6016,                 4.8561,                  2.191,                0.00125,                0.09359,                0.00268,                0.00079,                 2.4634,                 4.7571,                 2.2903,             0.00027775,             0.00027775,             0.00027775
                      2,                 2.4781,                 4.0812,                 2.0702,                0.00286,                0.27549,                0.01445,                0.00463,                 2.5659,                 4.1601,                 2.0785,             0.00056287,             0.00056287,             0.00056287
                      3,                 2.4497,                 3.8083,                  2.019,                0.55451,                0.02779,                0.03097,                 0.0078,                 2.7042,                  3.988,                 2.0488,             0.00084418,             0.00084418,             0.00084418
                      4,                 2.4189,                 3.5831,                 1.9438,                0.45674,                0.04312,                0.02215,                0.00682,                 2.7941,                 4.1111,                 2.1394,               0.001089,               0.001089,               0.001089
                      5,                 2.3827,                 3.5197,                 1.9914,                 0.4865,                0.04091,                0.02063,                0.00605,                 2.8355,                 3.7908,                 2.2089,               0.001089,               0.001089,               0.001089
                      6,                 2.3906,                 3.4763,                 2.0262,                0.29692,                0.10704,                0.03739,                0.01334,                 2.6766,                 4.2562,                 2.2793,              0.0010817,              0.0010817,              0.0010817
                      7,                 2.3378,                 3.3385,                 1.9725,                0.34261,                0.14984,                0.07787,                0.02693,                 2.4609,                  4.115,                 2.2114,              0.0010743,              0.0010743,              0.0010743
                      8,                 2.3549,                 3.2324,                 1.9384,                0.31812,                0.09509,                0.05083,                0.01731,                 2.4452,                 3.4787,                 2.0775,               0.001067,               0.001067,               0.001067
                      9,                 2.2895,                 3.1736,                 1.9096,                 0.3243,                 0.1239,                 0.0671,                0.02421,                 2.4097,                 3.6244,                 1.9963,              0.0010597,              0.0010597,              0.0010597
                     10,                 2.2897,                 3.1379,                 1.8757,                0.38172,                0.11169,                 0.0825,                0.03142,                 2.4706,                  3.817,                 2.0969,              0.0010523,              0.0010523,              0.0010523
                     11,                 2.2977,                 3.0048,                 1.9232,                0.57082,                0.14454,                 0.1106,                0.03875,                 2.3685,                 3.3454,                 2.0116,               0.001045,               0.001045,               0.001045
                     12,                 2.2734,                 2.9313,                  1.888,                0.38664,                0.14448,                0.10526,                0.04125,                 2.3943,                 3.6006,                 2.0073,              0.0010377,              0.0010377,              0.0010377
                     13,                 2.2489,                 2.8637,                 1.8732,                0.41387,                0.19094,                0.10884,                  0.045,                 2.3085,                 3.9372,                  2.096,              0.0010303,              0.0010303,              0.0010303
                     14,                 2.1705,                 2.8176,                 1.8525,                0.47392,                0.11742,                0.13118,                0.05345,                 2.2942,                 3.0116,                 1.9941,               0.001023,               0.001023,               0.001023
                     15,                 2.1918,                 2.6714,                 1.8633,                0.39154,                0.15148,                 0.1573,                0.06311,                 2.2201,                 2.8448,                 1.9219,              0.0010157,              0.0010157,              0.0010157
                     16,                 2.1413,                 2.7103,                  1.837,                0.43755,                0.22352,                0.19423,                0.08213,                   2.16,                  2.623,                 1.8633,              0.0010083,              0.0010083,              0.0010083
                     17,                 2.1343,                 2.7181,                 1.8686,                0.50297,                0.23263,                0.21093,                0.08212,                 2.2264,                 2.6779,                 1.9412,               0.001001,               0.001001,               0.001001
                     18,                  2.123,                 2.6456,                 1.8066,                 0.3001,                0.22599,                0.19809,                0.07807,                 2.1587,                 2.5761,                 1.9056,             0.00099368,             0.00099368,             0.00099368
                     19,                 2.1193,                 2.5727,                 1.8253,                0.36215,                0.24869,                0.19384,                0.07865,                 2.1664,                 2.6699,                 1.8982,             0.00098635,             0.00098635,             0.00098635
                     20,                 2.1089,                 2.5575,                  1.792,                0.38859,                0.26604,                0.24512,                0.10096,                 2.0779,                 2.5314,                 1.8054,             0.00097901,             0.00097901,             0.00097901
                     21,                 2.0812,                 2.4474,                 1.7765,                0.38937,                0.27552,                0.26325,                0.10541,                 2.0729,                 2.3911,                 1.8155,             0.00097168,             0.00097168,             0.00097168
                     22,                 2.0645,                 2.4622,                 1.7637,                0.41025,                0.29332,                  0.295,                 0.1272,                 2.1091,                 2.3954,                 1.7932,             0.00096435,             0.00096435,             0.00096435
                     23,                 2.0886,                 2.3702,                 1.7675,                  0.367,                0.30352,                0.28801,                0.12363,                 2.0438,                 2.4508,                 1.7894,             0.00095702,             0.00095702,             0.00095702
                     24,                 2.0558,                 2.3993,                 1.7639,                0.45273,                0.31345,                0.31756,                0.13756,                 2.0323,                 2.1984,                 1.8049,             0.00094968,             0.00094968,             0.00094968
                     25,                 2.0132,                 2.3862,                 1.7317,                0.42708,                0.31264,                0.32954,                0.14842,                 2.0265,                 2.1472,                 1.8087,             0.00094235,             0.00094235,             0.00094235
                     26,                 2.0288,                 2.2882,                 1.7424,                0.39661,                0.37792,                0.35698,                0.16312,                 1.9377,                  2.112,                 1.7543,             0.00093502,             0.00093502,             0.00093502
                     27,                 1.9201,                 2.2715,                 1.6619,                0.40234,                0.33548,                 0.3334,                0.15937,                 1.9503,                 2.2484,                  1.716,             0.00092769,             0.00092769,             0.00092769
                     28,                 1.9607,                 2.1622,                 1.6688,                0.52879,                0.33448,                0.35963,                0.15883,                  1.978,                 2.2424,                 1.7449,             0.00092035,             0.00092035,             0.00092035
                     29,                 1.9715,                 2.2048,                 1.6659,                0.45284,                0.34256,                0.33728,                0.14744,                 2.0175,                 2.3091,                 1.7442,             0.00091302,             0.00091302,             0.00091302
                     30,                 1.8976,                 2.1039,                 1.6481,                0.41306,                0.40869,                0.38805,                0.18309,                 2.0055,                  2.099,                 1.7329,             0.00090569,             0.00090569,             0.00090569
                     31,                 1.8944,                 2.1128,                 1.6481,                0.51683,                0.40461,                0.43319,                0.20751,                 1.8776,                  1.982,                 1.6495,             0.00089835,             0.00089835,             0.00089835
                     32,                 1.8592,                 2.0695,                 1.6442,                0.58603,                0.37401,                0.42263,                 0.2016,                 1.9174,                 1.9593,                 1.6561,             0.00089102,             0.00089102,             0.00089102
                     33,                 1.9254,                 2.0558,                 1.6425,                0.44213,                0.44114,                0.41096,                0.19882,                  1.897,                 2.0178,                 1.6744,             0.00088369,             0.00088369,             0.00088369
                     34,                 1.8917,                 1.9561,                 1.6152,                0.61421,                0.45651,                0.51467,                0.26658,                 1.8192,                 1.8654,                 1.6568,             0.00087636,             0.00087636,             0.00087636
                     35,                 1.8475,                 1.9418,                 1.5977,                0.58326,                0.34682,                0.42126,                0.18909,                 1.9412,                 1.9943,                 1.6839,             0.00086902,             0.00086902,             0.00086902
