,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
0,Swift,Suzuki,1300,Hatchback,2022,19700,Petrol,Automatic,Punjab,38.45
1,Swift,Suzuki,1300,Hatchback,2018,82000,Petrol,Manual,Lahore,27.0
2,Swift,Suzuki,1300,Hatchback,2023,6000,Petrol,Automatic,Islamabad,46.0
3,Swift,Suzuki,1300,Hatchback,2017,81000,Petrol,Automatic,Sindh,23.9
4,Swift,Suzuki,1300,Hatchback,2021,74542,Petrol,Manual,Punjab,26.9
5,Swift,Suzuki,1300,Hatchback,2022,57000,Petrol,Manual,Karachi,36.75
6,Swift,Suzuki,1300,Hatchback,2022,22000,Petrol,Automatic,Islamabad,40.75
7,Swift,Suzuki,1300,Hatchback,2022,17475,Petrol,Manual,Lahore,41.0
8,Swift,Suzuki,1300,Hatchback,2022,11347,Petrol,Automatic,Islamabad,43.65
9,Swift,Suzuki,1300,Hatchback,2023,13056,Petrol,Automatic,Islamabad,47.0
10,Swift,Suzuki,1300,Hatchback,2022,400,Petrol,Automatic,Punjab,46.0
11,Swift,Suzuki,1300,Hatchback,2018,55700,Petrol,Manual,Islamabad,26.25
12,Swift,Suzuki,1300,Hatchback,2020,48208,Petrol,Automatic,Punjab,32.0
13,Swift,Suzuki,1300,Hatchback,2012,112000,Petrol,Manual,Sindh,16.5
14,Swift,Suzuki,1300,Hatchback,2017,146000,Petrol,Manual,Lahore,24.8
15,Swift,Suzuki,1300,Hatchback,2018,46140,Petrol,Manual,Karachi,25.0
16,Swift,Suzuki,1300,Hatchback,2022,18000,Petrol,Manual,Karachi,36.0
17,Swift,Suzuki,1300,Hatchback,2011,111000,Petrol,Automatic,Abbottabad,30.25
18,Swift,Suzuki,1300,Hatchback,2022,18000,Petrol,Automatic,Islamabad,47.0
19,Civic,Honda,1800,Sedan,2015,69900,Petrol,Automatic,Islamabad,42.99
20,Swift,Suzuki,1300,Hatchback,2012,180000,Petrol,Manual,Lahore,18.0
21,Swift,Suzuki,1300,Hatchback,2018,65000,Petrol,Manual,Islamabad,26.5
22,Swift,Suzuki,1300,Hatchback,2022,22000,Petrol,Automatic,Islamabad,45.5
23,Swift,Suzuki,1300,Hatchback,2013,211000,Petrol,Manual,Lahore,18.25
24,Swift,Suzuki,1300,Hatchback,2017,49000,Petrol,Automatic,Karachi,24.75
25,Swift,Suzuki,1300,Hatchback,2022,19000,Petrol,Automatic,Sindh,41.0
26,Swift,Suzuki,1300,Hatchback,2022,20000,Petrol,Automatic,Punjab,40.25
27,Swift,Suzuki,1300,Hatchback,2010,104000,Petrol,Manual,Lahore,17.75
28,Swift,Suzuki,1300,Hatchback,2014,90000,Petrol,Manual,Sindh,21.5
29,Swift,Suzuki,1300,Hatchback,2014,83000,Petrol,Manual,Punjab,19.0
30,Swift,Suzuki,1300,Hatchback,2015,110000,Petrol,Manual,Lahore,21.75
31,Swift,Suzuki,1300,Hatchback,2021,53000,Petrol,Manual,Sindh,26.5
32,Swift,Suzuki,1300,Hatchback,2024,15,Petrol,Automatic,Un-Registered,49.6
33,Swift,Suzuki,1300,Hatchback,2019,57242,Petrol,Automatic,Lahore,27.75
34,Swift,Suzuki,1300,Hatchback,2021,39000,Petrol,Automatic,Punjab,34.0
35,Swift,Suzuki,1300,Hatchback,2022,14213,Petrol,Automatic,Islamabad,47.0
36,Swift,Suzuki,1300,Hatchback,2017,160000,Petrol,Manual,Lahore,22.5
37,Swift,Suzuki,1300,Hatchback,2013,94000,Petrol,Manual,Islamabad,21.25
38,Swift,Suzuki,1300,Hatchback,2016,28000,Petrol,Manual,Karachi,20.5
39,Swift,Suzuki,1300,Hatchback,2017,100000,Petrol,Manual,Lahore,28.5
40,Swift,Suzuki,1300,Hatchback,2012,181000,Petrol,Manual,Islamabad,18.8
41,Swift,Suzuki,1300,Hatchback,2018,62755,Petrol,Automatic,Islamabad,29.0
42,Swift,Suzuki,1300,Hatchback,2022,17000,Petrol,Automatic,Punjab,41.5
43,Swift,Suzuki,1300,Hatchback,2017,80855,Petrol,Automatic,Karachi,24.5
44,Swift,Suzuki,1300,Hatchback,2023,600,Petrol,Manual,Un-Registered,40.0
45,Swift,Suzuki,1300,Hatchback,2022,40153,Petrol,Manual,Punjab,37.0
46,Swift,Suzuki,1300,Hatchback,2022,17000,Petrol,Automatic,Sindh,43.5
47,Swift,Suzuki,1300,Hatchback,2022,25000,Petrol,Automatic,Punjab,43.5
48,Swift,Suzuki,1300,Hatchback,2022,22000,Petrol,Automatic,Karachi,44.0
49,Swift,Suzuki,1300,Hatchback,2016,158118,Petrol,Manual,Lahore,20.0
50,Swift,Suzuki,1300,Hatchback,2023,3600,Petrol,Automatic,Karachi,49.9
51,Swift,Suzuki,1300,Hatchback,2021,81000,Petrol,Automatic,Islamabad,31.8
52,Swift,Suzuki,1300,Hatchback,2022,57000,Petrol,Manual,Karachi,36.75
53,Swift,Suzuki,1300,Hatchback,2015,130000,Petrol,Automatic,Sindh,24.0
54,Swift,Suzuki,1300,Hatchback,2014,95000,Petrol,Manual,Lahore,18.5
55,Swift,Suzuki,1300,Hatchback,2022,9000,Petrol,Automatic,Lahore,43.0
56,Swift,Suzuki,1300,Hatchback,2023,8200,Petrol,Automatic,Punjab,47.5
57,Swift,Suzuki,1300,Hatchback,2017,130000,Petrol,Automatic,Multan,24.75
58,Swift,Suzuki,1300,Hatchback,2012,83000,Petrol,Manual,Punjab,16.9
59,Khyber,Suzuki,1000,Hatchback,1989,150000,Petrol,Manual,Lahore,3.25
60,Swift,Suzuki,1300,Hatchback,2019,52500,Petrol,Automatic,Karachi,28.25
61,Swift,Suzuki,1300,Hatchback,2022,22000,Petrol,Automatic,Islamabad,40.75
