Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2800 cc,SUV,2021,"39,235 km",Diesel,Automatic,Islamabad,PKR 1.64 crore
Fortuner,Toyota,2700 cc,SUV,2015,"140,000 km",Petrol,Automatic,Islamabad,PKR 78.5 lacs
Fortuner,Toyota,2800 cc,SUV,2022,"19,800 km",Diesel,Automatic,Lahore,PKR 1.7 crore
Fortuner,Toyota,2700 cc,SUV,2017,"67,987 km",Petrol,Automatic,Karachi,PKR 1.03 crore
Fortuner,Toyota,2800 cc,SUV,2021,"13,500 km",Diesel,Automatic,Punjab,PKR 1.68 crore
Fortuner,Toyota,2800 cc,SUV,2023,690 km,Diesel,Automatic,Un-Registered,PKR 2.09 crore
Fortuner,Toyota,2800 cc,SUV,2023,"5,000 km",Diesel,Automatic,Karachi,Call for price
Fortuner,Toyota,2800 cc,SUV,2021,"29,000 km",Diesel,Automatic,Karachi,Call for price
Fortuner,Toyota,2800 cc,N/A,2022,"9,800 km",Diesel,Automatic,Punjab,PKR 1.85 crore
Fortuner,Toyota,2800 cc,SUV,2022,"19,000 km",Diesel,Automatic,Karachi,PKR 1.75 crore
Fortuner,Toyota,2700 cc,SUV,2017,"52,000 km",Petrol,Automatic,Karachi,PKR 97.45 lacs
Fortuner,Toyota,2800 cc,SUV,2023,78 km,Diesel,Automatic,Un-Registered,PKR 1.92 crore
Fortuner,Toyota,2800 cc,SUV,2021,"50,000 km",Diesel,Automatic,Islamabad,PKR 1.6 crore
Fortuner,Toyota,2800 cc,SUV,2021,"2,300 km",Diesel,Automatic,Sindh,PKR 1.52 crore
Fortuner,Toyota,2800 cc,SUV,2020,"40,000 km",Diesel,Automatic,Sindh,PKR 1.39 crore
Fortuner,Toyota,2800 cc,SUV,2022,"35,000 km",Diesel,Automatic,Un-Registered,PKR 1.85 crore
