,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
0,Swift,Suzuki,1200 cc,Hatchback,2022,"19,700 km",Petrol,Automatic,Punjab,PKR 38.45 lacs
1,Swift,Suzuki,1300 cc,Hatchback,2018,"82,000 km",Petrol,Manual,Lahore,PKR 27 lacs
2,Swift,Suzuki,1200 cc,Hatchback,2023,"6,000 km",Petrol,Automatic,Islamabad,PKR 46 lacs
3,Swift,Suzuki,1300 cc,Hatchback,2017,"81,000 km",Petrol,Automatic,Sindh,PKR 23.9 lacs
4,Swift,Suzuki,1300 cc,Hatchback,2021,"74,542 km",Petrol,Manual,Punjab,PKR 26.9 lacs
5,Swift,Suzuki,1242 cc,Hatchback,2022,"57,000 km",Petrol,Manual,Karachi,PKR 36.75 lacs
6,Swift,Suzuki,1240 cc,Hatchback,2022,"22,000 km",Petrol,Automatic,Islamabad,PKR 40.75 lacs
7,Swift,Suzuki,1242 cc,Hatchback,2022,"17,475 km",Petrol,Manual,Lahore,PKR 41 lacs
8,Swift,Suzuki,1242 cc,Hatchback,2022,"11,347 km",Petrol,Automatic,Islamabad,PKR 43.65 lacs
9,Swift,Suzuki,1200 cc,Hatchback,2023,"13,056 km",Petrol,Automatic,Islamabad,PKR 47 lacs
10,Swift,Suzuki,1200 cc,Hatchback,2022,400 km,Petrol,Automatic,Punjab,PKR 46 lacs
11,Swift,Suzuki,1300 cc,Hatchback,2018,"55,700 km",Petrol,Manual,Islamabad,PKR 26.25 lacs
12,Swift,Suzuki,1300 cc,N/A,2020,"48,208 km",Petrol,Automatic,Punjab,PKR 32 lacs
13,Swift,Suzuki,1300 cc,Hatchback,2012,"112,000 km",Petrol,Manual,Sindh,PKR 16.5 lacs
14,Swift,Suzuki,1300 cc,Hatchback,2017,"146,000 km",Petrol,Manual,Lahore,PKR 24.8 lacs
15,Swift,Suzuki,1300 cc,Hatchback,2018,"46,140 km",Petrol,Manual,Karachi,PKR 25 lacs
16,Swift,Suzuki,1200 cc,Hatchback,2022,"18,000 km",Petrol,Manual,Karachi,PKR 36 lacs
17,Swift,Suzuki,1200 cc,Hatchback,2011,"111,000 km",Petrol,Automatic,Abbottabad,PKR 30.25 lacs
18,Swift,Suzuki,1242 cc,Hatchback,2022,"18,000 km",Petrol,Automatic,Islamabad,PKR 47 lacs
19,Civic,Honda,1800 cc,Sedan,2015,"69,900 km",Petrol,Automatic,Islamabad,PKR 42.99 lacs
20,Swift,Suzuki,1300 cc,Hatchback,2012,"180,000 km",Petrol,Manual,Lahore,PKR 18 lacs
21,Swift,Suzuki,1300 cc,Hatchback,2018,"65,000 km",Petrol,Manual,Islamabad,PKR 26.5 lacs
22,Swift,Suzuki,1200 cc,Hatchback,2022,"22,000 km",Petrol,Automatic,Islamabad,PKR 45.5 lacs
23,Swift,Suzuki,1300 cc,Hatchback,2013,"211,000 km",Petrol,Manual,Lahore,PKR 18.25 lacs
24,Swift,Suzuki,1300 cc,Hatchback,2017,"49,000 km",Petrol,Automatic,Karachi,PKR 24.75 lacs
25,Swift,Suzuki,1240 cc,Hatchback,2022,"19,000 km",Petrol,Automatic,Sindh,PKR 41 lacs
26,Swift,Suzuki,1240 cc,Hatchback,2022,"20,000 km",Petrol,Automatic,Punjab,PKR 40.25 lacs
27,Swift,Suzuki,1300 cc,Hatchback,2010,"104,000 km",Petrol,Manual,Lahore,PKR 17.75 lacs
28,Swift,Suzuki,1300 cc,Hatchback,2014,"90,000 km",Petrol,Manual,Sindh,PKR 21.5 lacs
29,Swift,Suzuki,1300 cc,Hatchback,2014,"83,000 km",Petrol,Manual,Punjab,PKR 19 lacs
30,Swift,Suzuki,1300 cc,Hatchback,2015,"110,000 km",Petrol,Manual,Lahore,PKR 21.75 lacs
31,Swift,Suzuki,1300 cc,Hatchback,2021,"53,000 km",Petrol,Manual,Sindh,PKR 26.5 lacs
